symbol,timeframe,round,best_pre_score,trials_cumulative,improvement,new_trials
BTCUSDT,5m,1,-0.12843588694431463,360,,
BTCUSDT,5m,2,0.11973594343428268,504,0.2481718303785973,144.0
BTCUSDT,5m,3,0.1930487453693096,645,0.07331280193502693,141.0
BTCUSDT,5m,4,0.597372322092291,784,0.40432357672298136,139.0
BTCUSDT,15m,1,-0.0700793266048994,1144,,
BTCUSDT,15m,2,-0.030229436268196797,1286,0.03984989033670261,142.0
BTCUSDT,15m,3,0.16840793527453057,1425,0.19863737154272737,139.0
BTCUSDT,15m,4,0.6287417158761804,1566,0.46033378060164987,141.0
BTCUSDT,30m,1,0.3986621195817815,1926,,
BTCUSDT,30m,2,0.5545135791265509,2069,0.15585145954476937,143.0
BTCUSDT,30m,3,0.5545135791265509,2209,0.0,140.0
BTCUSDT,30m,4,0.6638196835370395,2350,0.1093061044104886,141.0
BTCUSDT,60m,1,0.5526496607019286,2710,,
BTCUSDT,60m,2,0.5762033525429109,2851,0.023553691840982327,141.0
BTCUSDT,60m,3,0.619827753990477,2990,0.043624401447566075,139.0
BTCUSDT,60m,4,0.7234145739806915,3127,0.10358681999021457,137.0
ETHUSDT,5m,1,-0.19190138498888953,3487,,
ETHUSDT,5m,2,-0.12199967275717916,3628,0.06990171223171038,141.0
ETHUSDT,5m,3,-0.07698735370655396,3769,0.045012319050625194,141.0
ETHUSDT,5m,4,0.4974153854387732,3907,0.5744027391453272,138.0
ETHUSDT,15m,1,0.4044660987866921,4267,,
ETHUSDT,15m,2,0.4044660987866921,4407,0.0,140.0
ETHUSDT,15m,3,0.4044660987866921,4548,0.0,141.0
ETHUSDT,30m,1,0.5960009068910492,4908,,
ETHUSDT,30m,2,0.8828660990755123,5049,0.28686519218446305,141.0
ETHUSDT,30m,3,0.8828660990755123,5190,0.0,141.0
ETHUSDT,30m,4,0.8828660990755123,5328,0.0,138.0
ETHUSDT,60m,1,0.47680543587588636,5688,,
ETHUSDT,60m,2,0.7059716607896948,5828,0.2291662249138084,140.0
ETHUSDT,60m,3,0.7059716607896948,5968,0.0,140.0
ETHUSDT,60m,4,0.7942061300222234,6108,0.08823446923252865,140.0
