symbol,timeframe,round,best_pre_score,dataset_trials,trials_cumulative,new_trials
BTCUSDT,5m,1,-0.6252869513595651,2400,2400,
BTCUSDT,5m,2,-0.6252869513595651,2638,2638,238.0
BTCUSDT,5m,3,-0.6211413399464829,2876,2876,238.0
BTCUSDT,5m,4,-0.6211413399464829,3000,3000,124.0
BTCUSDT,15m,1,-0.6266206391121989,2400,5400,
BTCUSDT,15m,2,-0.6221142061315197,2636,5636,236.0
BTCUSDT,15m,3,-0.5954927655443363,2871,5871,235.0
BTCUSDT,15m,4,-0.5954927655443363,3000,6000,129.0
ETHUSDT,5m,1,-0.5968726367532382,2400,8400,
ETHUSDT,5m,2,-0.5917370439864,2633,8633,233.0
ETHUSDT,5m,3,-0.5838122554323448,2868,8868,235.0
ETHUSDT,5m,4,-0.5786679016649516,3000,9000,132.0
ETHUSDT,15m,1,-0.563546524267974,2400,11400,
ETHUSDT,15m,2,-0.563546524267974,2636,11636,236.0
ETHUSDT,15m,3,-0.5452075028800463,2871,11871,235.0
ETHUSDT,15m,4,-0.5406667177972291,3000,12000,129.0
